"country","date","people_fully_vaccinated","people_vaccinated","people_fully_vaccinated","daily_vaccinations","population","continent","cumsum_total_vaccination","people_fully_vaccinated_per_million","people_vaccinated_per_million","daily_vaccinated_per_million"
"Albania",2021-01-10,0,0,0,0,2875512,"Europe",0,0,0,0
"Albania",2021-01-11,0,0,0,64,2875512,"Europe",64,0,0,22.256905900584
"Albania",2021-01-12,0,128,0,64,2875512,"Europe",128,0,44.5138118011679,22.256905900584
"Albania",2021-01-13,0,188,0,63,2875512,"Europe",191,0,65.3796610829654,21.9091417458873
"Albania",2021-01-14,0,266,0,66,2875512,"Europe",257,0,92.5052651493021,22.9524342099772
"Albania",2021-01-15,0,308,0,62,2875512,"Europe",319,0,107.11135964656,21.5613775911907
"Albania",2021-01-16,0,369,0,62,2875512,"Europe",381,0,128.324973083054,21.5613775911907
"Albania",2021-01-17,0,405,0,58,2875512,"Europe",439,0,140.844482652133,20.1703209724042
"Albania",2021-01-18,0,447,0,55,2875512,"Europe",494,0,155.450577149391,19.1270285083143
"Albania",2021-01-19,0,483,0,51,2875512,"Europe",545,0,167.97008671847,17.7359718895278
"Albania",2021-01-20,0,519,0,47,2875512,"Europe",592,0,180.489596287548,16.3449152707413
"Albania",2021-01-21,0,549,0,40,2875512,"Europe",632,0,190.922520928447,13.910566187865
"Albania",2021-01-22,0,0,0,34,2875512,"Europe",666,0,0,11.8239812596852
"Albania",2021-01-23,0,0,0,26,2875512,"Europe",692,0,0,9.04186802211223
"Albania",2021-01-24,0,0,0,21,2875512,"Europe",713,0,0,7.30304724862911
"Albania",2021-01-25,0,0,0,15,2875512,"Europe",728,0,0,5.21646232044937
"Albania",2021-01-26,0,0,0,9,2875512,"Europe",737,0,0,3.12987739226962
"Albania",2021-01-27,0,0,0,4,2875512,"Europe",741,0,0,1.3910566187865
"Albania",2021-01-28,0,0,0,0,2875512,"Europe",741,0,0,0
"Albania",2021-01-29,0,0,0,0,2875512,"Europe",741,0,0,0
"Albania",2021-01-30,0,0,0,0,2875512,"Europe",741,0,0,0
"Albania",2021-01-31,0,0,0,0,2875512,"Europe",741,0,0,0
"Albania",2021-02-01,0,0,0,0,2875512,"Europe",741,0,0,0
"Albania",2021-02-02,1,549,1,0,2875512,"Europe",741,0.347764154696624,190.922520928447,0
"Albania",2021-02-03,0,0,0,12,2875512,"Europe",753,0,0,4.17316985635949
"Albania",2021-02-04,0,0,0,24,2875512,"Europe",777,0,0,8.34633971271899
"Albania",2021-02-05,0,0,0,35,2875512,"Europe",812,0,0,12.1717454143819
"Albania",2021-02-06,0,0,0,47,2875512,"Europe",859,0,0,16.3449152707413
"Albania",2021-02-07,0,0,0,59,2875512,"Europe",918,0,0,20.5180851271008
"Albania",2021-02-08,0,0,0,71,2875512,"Europe",989,0,0,24.6912549834603
"Albania",2021-02-09,438,689,438,82,2875512,"Europe",1071,152.320699757122,239.609502585974,28.5166606851232
