country,date,people_fully_vaccinated,people_vaccinated,daily_vaccinations,population,continent,cumsum_total_vaccination,people_fully_vaccinated_per_million,people_vaccinated_per_million,daily_vaccinated_per_million
Albania,2021-01-10,0,0,0,2875512,Europe,0,0,0,0
Albania,2021-01-11,0,0,64,2875512,Europe,64,0,0,22
Albania,2021-01-12,0,128,64,2875512,Europe,128,0,44,22
Albania,2021-01-13,0,188,63,2875512,Europe,191,0,65,21
Albania,2021-01-14,0,266,66,2875512,Europe,257,0,92,22
Albania,2021-01-15,0,308,62,2875512,Europe,319,0,107,21
Albania,2021-01-16,0,369,62,2875512,Europe,381,0,128,21
Albania,2021-01-17,0,405,58,2875512,Europe,439,0,140,20
Albania,2021-01-18,0,447,55,2875512,Europe,494,0,155,19
Albania,2021-01-19,0,483,51,2875512,Europe,545,0,167,17
Albania,2021-01-20,0,519,47,2875512,Europe,592,0,180,16
Albania,2021-01-21,0,534,40,2875512,Europe,632,0,185,13
Albania,2021-01-22,0,542,34,2875512,Europe,666,0,188,11
Albania,2021-01-23,0,545,26,2875512,Europe,692,0,189,9
Albania,2021-01-24,0,547,21,2875512,Europe,713,0,190,7
Albania,2021-01-25,0,548,15,2875512,Europe,728,0,190,5
Albania,2021-01-26,0,548,9,2875512,Europe,737,0,190,3
Albania,2021-01-27,0,548,4,2875512,Europe,741,0,190,1
Albania,2021-01-28,0,548,0,2875512,Europe,741,0,190,0
Albania,2021-01-29,0,548,0,2875512,Europe,741,0,190,0
Albania,2021-01-30,0,548,0,2875512,Europe,741,0,190,0
Albania,2021-01-31,0,548,0,2875512,Europe,741,0,190,0
Albania,2021-02-01,0,548,0,2875512,Europe,741,0,190,0
Albania,2021-02-02,0,548,0,2875512,Europe,741,0,190,0
Albania,2021-02-03,0,548,12,2875512,Europe,753,0,190,4
Albania,2021-02-04,0,548,24,2875512,Europe,777,0,190,8
Albania,2021-02-05,0,548,35,2875512,Europe,812,0,190,12
Albania,2021-02-06,0,548,47,2875512,Europe,859,0,190,16
Albania,2021-02-07,0,548,59,2875512,Europe,918,0,190,20
Albania,2021-02-08,1,549,71,2875512,Europe,989,0,190,24
Albania,2021-02-09,220,619,82,2875512,Europe,1071,76,215,28
Albania,2021-02-10,329,654,81,2875512,Europe,1152,114,227,28
Albania,2021-02-11,383,672,79,2875512,Europe,1231,133,233,27
Albania,2021-02-12,411,680,78,2875512,Europe,1309,142,236,27
Albania,2021-02-13,424,685,76,2875512,Europe,1385,147,238,26
Albania,2021-02-14,431,687,75,2875512,Europe,1460,149,238,26
Albania,2021-02-15,435,688,73,2875512,Europe,1533,151,239,25
Albania,2021-02-16,438,689,72,2875512,Europe,1605,152,239,25
Albania,2021-02-17,524,1090,72,2875512,Europe,1677,182,379,25
Albania,2021-02-18,568,1764,254,2875512,Europe,1931,197,613,88
Albania,2021-02-19,589,2101,405,2875512,Europe,2336,204,730,140
Albania,2021-02-20,600,2270,516,2875512,Europe,2852,208,789,179
Albania,2021-02-21,611,2438,627,2875512,Europe,3479,212,847,218
Albania,2021-02-22,633,4256,739,2875512,Europe,4218,220,1480,256
Albania,2021-02-23,644,5164,891,2875512,Europe,5109,223,1795,309
Albania,2021-02-24,650,5619,1043,2875512,Europe,6152,226,1954,362
Albania,2021-02-25,652,5846,1012,2875512,Europe,7164,226,2033,351
Albania,2021-02-26,653,5959,1000,2875512,Europe,8164,227,2072,347
Albania,2021-02-27,654,6073,1027,2875512,Europe,9191,227,2111,357
Albania,2021-02-28,654,79474,1054,2875512,Europe,10245,227,27638,366
Albania,2021-03-01,654,116174,1081,2875512,Europe,11326,227,40401,375
Albania,2021-03-02,654,134524,1026,2875512,Europe,12352,227,46782,356
