country,date,daily_vaccinations,population,continent,cumsum_total_vaccination,people_vaccinated,people_fully_vaccinated,people_fully_vaccinated_per_million,people_vaccinated_per_million,daily_vaccinated_per_million
Afghanistan,2021-02-22,0.0,39559326,Asia,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,2021-02-23,1367.0,39559326,Asia,1367.0,1367.0,0.0,0.0,35.0,34.555694907441
Afghanistan,2021-02-24,1367.0,39559326,Asia,2734.0,2733.0,0.0,0.0,69.0,34.555694907441
Afghanistan,2021-02-25,1367.0,39559326,Asia,4101.0,4100.0,0.0,0.0,104.0,34.555694907441
Afghanistan,2021-02-26,1367.0,39559326,Asia,5468.0,5467.0,0.0,0.0,138.0,34.555694907441
Afghanistan,2021-02-27,1367.0,39559326,Asia,6835.0,6833.0,0.0,0.0,173.0,34.555694907441
Afghanistan,2021-02-28,1367.0,39559326,Asia,8202.0,8200.0,0.0,0.0,207.0,34.555694907441
Afghanistan,2021-03-01,1580.0,39559326,Asia,9782.0,11062.0,0.0,0.0,280.0,39.9400131336919
Afghanistan,2021-03-02,1794.0,39559326,Asia,11576.0,13925.0,0.0,0.0,352.0,45.3496098492679
Afghanistan,2021-03-03,2008.0,39559326,Asia,13584.0,16788.0,0.0,0.0,424.0,50.7592065648439
Afghanistan,2021-03-04,2221.0,39559326,Asia,15805.0,19650.0,0.0,0.0,497.0,56.1435247910948
Afghanistan,2021-03-05,2435.0,39559326,Asia,18240.0,22512.0,0.0,0.0,569.0,61.5531215066708
Afghanistan,2021-03-06,2649.0,39559326,Asia,20889.0,25375.0,0.0,0.0,641.0,66.9627182222468
Afghanistan,2021-03-07,2862.0,39559326,Asia,23751.0,28238.0,0.0,0.0,714.0,72.3470364484976
Afghanistan,2021-03-08,2862.0,39559326,Asia,26613.0,31100.0,0.0,0.0,786.0,72.3470364484976
Afghanistan,2021-03-09,2862.0,39559326,Asia,29475.0,33962.0,0.0,0.0,859.0,72.3470364484976
Afghanistan,2021-03-10,2862.0,39559326,Asia,32337.0,36825.0,0.0,0.0,931.0,72.3470364484976
Afghanistan,2021-03-11,2862.0,39559326,Asia,35199.0,39688.0,0.0,0.0,1003.0,72.3470364484976
Afghanistan,2021-03-12,2862.0,39559326,Asia,38061.0,42550.0,0.0,0.0,1076.0,72.3470364484976
Afghanistan,2021-03-13,2862.0,39559326,Asia,40923.0,45412.0,0.0,0.0,1148.0,72.3470364484976
Afghanistan,2021-03-14,2862.0,39559326,Asia,43785.0,48275.0,0.0,0.0,1220.0,72.3470364484976
Afghanistan,2021-03-15,2862.0,39559326,Asia,46647.0,51138.0,0.0,0.0,1293.0,72.3470364484976
Afghanistan,2021-03-16,2862.0,39559326,Asia,49509.0,54000.0,0.0,0.0,1365.0,72.3470364484976
Albania,2021-01-10,0.0,2875512,Europe,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2021-01-11,64.0,2875512,Europe,64.0,64.0,0.0,0.0,22.0,22.256905900584
Albania,2021-01-12,64.0,2875512,Europe,128.0,128.0,0.0,0.0,45.0,22.256905900584
Albania,2021-01-13,63.0,2875512,Europe,191.0,188.0,0.0,0.0,65.0,21.9091417458873
Albania,2021-01-14,66.0,2875512,Europe,257.0,266.0,0.0,0.0,93.0,22.9524342099772
