"country","date","daily_vaccinations","population","continent","cumsum_total_vaccination","people_vaccinated"
"Afghanistan",2021-02-22,0,39559326,"Asia",0,0
"Afghanistan",2021-02-23,1367,39559326,"Asia",1367,NA
"Afghanistan",2021-02-24,1367,39559326,"Asia",2734,NA
"Afghanistan",2021-02-25,1367,39559326,"Asia",4101,NA
"Afghanistan",2021-02-26,1367,39559326,"Asia",5468,NA
"Afghanistan",2021-02-27,1367,39559326,"Asia",6835,NA
"Afghanistan",2021-02-28,1367,39559326,"Asia",8202,8200
"Afghanistan",2021-03-01,1580,39559326,"Asia",9782,NA
"Afghanistan",2021-03-02,1794,39559326,"Asia",11576,NA
"Afghanistan",2021-03-03,2008,39559326,"Asia",13584,NA
"Afghanistan",2021-03-04,2221,39559326,"Asia",15805,NA
"Afghanistan",2021-03-05,2435,39559326,"Asia",18240,NA
"Afghanistan",2021-03-06,2649,39559326,"Asia",20889,NA
"Afghanistan",2021-03-07,2862,39559326,"Asia",23751,NA
"Afghanistan",2021-03-08,2862,39559326,"Asia",26613,NA
"Afghanistan",2021-03-09,2862,39559326,"Asia",29475,NA
"Afghanistan",2021-03-10,2862,39559326,"Asia",32337,NA
"Afghanistan",2021-03-11,2862,39559326,"Asia",35199,NA
"Afghanistan",2021-03-12,2862,39559326,"Asia",38061,NA
"Afghanistan",2021-03-13,2862,39559326,"Asia",40923,NA
"Afghanistan",2021-03-14,2862,39559326,"Asia",43785,NA
"Afghanistan",2021-03-15,2862,39559326,"Asia",46647,NA
"Afghanistan",2021-03-16,2862,39559326,"Asia",49509,54000
"Albania",2021-01-10,0,2875512,"Europe",0,0
"Albania",2021-01-11,64,2875512,"Europe",64,NA
"Albania",2021-01-12,64,2875512,"Europe",128,128
"Albania",2021-01-13,63,2875512,"Europe",191,188
"Albania",2021-01-14,66,2875512,"Europe",257,266
"Albania",2021-01-15,62,2875512,"Europe",319,308
"Albania",2021-01-16,62,2875512,"Europe",381,369
"Albania",2021-01-17,58,2875512,"Europe",439,405
"Albania",2021-01-18,55,2875512,"Europe",494,447
"Albania",2021-01-19,51,2875512,"Europe",545,483
"Albania",2021-01-20,47,2875512,"Europe",592,519
"Albania",2021-01-21,40,2875512,"Europe",632,549
"Albania",2021-01-22,34,2875512,"Europe",666,NA
"Albania",2021-01-23,26,2875512,"Europe",692,NA
"Albania",2021-01-24,21,2875512,"Europe",713,NA
"Albania",2021-01-25,15,2875512,"Europe",728,NA
"Albania",2021-01-26,9,2875512,"Europe",737,NA
"Albania",2021-01-27,4,2875512,"Europe",741,NA
"Albania",2021-01-28,0,2875512,"Europe",741,NA
"Albania",2021-01-29,0,2875512,"Europe",741,NA
"Albania",2021-01-30,0,2875512,"Europe",741,NA
"Albania",2021-01-31,0,2875512,"Europe",741,NA
"Albania",2021-02-01,0,2875512,"Europe",741,NA
"Albania",2021-02-02,0,2875512,"Europe",741,549
"Albania",2021-02-03,12,2875512,"Europe",753,NA
"Albania",2021-02-04,24,2875512,"Europe",777,NA
"Albania",2021-02-05,35,2875512,"Europe",812,NA
"Albania",2021-02-06,47,2875512,"Europe",859,NA
"Albania",2021-02-07,59,2875512,"Europe",918,NA
"Albania",2021-02-08,71,2875512,"Europe",989,NA
"Albania",2021-02-09,82,2875512,"Europe",1071,689
"Albania",2021-02-10,81,2875512,"Europe",1152,NA
"Albania",2021-02-11,79,2875512,"Europe",1231,NA
"Albania",2021-02-12,78,2875512,"Europe",1309,NA
"Albania",2021-02-13,76,2875512,"Europe",1385,NA
"Albania",2021-02-14,75,2875512,"Europe",1460,NA
"Albania",2021-02-15,73,2875512,"Europe",1533,NA
"Albania",2021-02-16,72,2875512,"Europe",1605,NA
"Albania",2021-02-17,72,2875512,"Europe",1677,1090
"Albania",2021-02-18,254,2875512,"Europe",1931,2438
"Albania",2021-02-19,405,2875512,"Europe",2336,NA
"Albania",2021-02-20,516,2875512,"Europe",2852,NA
"Albania",2021-02-21,627,2875512,"Europe",3479,NA
"Albania",2021-02-22,739,2875512,"Europe",4218,6073
"Albania",2021-02-23,891,2875512,"Europe",5109,NA
"Albania",2021-02-24,1043,2875512,"Europe",6152,NA
"Albania",2021-02-25,1012,2875512,"Europe",7164,NA
"Albania",2021-02-26,1000,2875512,"Europe",8164,NA
"Albania",2021-02-27,1027,2875512,"Europe",9191,NA
"Albania",2021-02-28,1054,2875512,"Europe",10245,NA
"Albania",2021-03-01,1081,2875512,"Europe",11326,NA
"Albania",2021-03-02,1026,2875512,"Europe",12352,NA
"Albania",2021-03-03,971,2875512,"Europe",13323,NA
"Albania",2021-03-04,927,2875512,"Europe",14250,NA
"Albania",2021-03-05,897,2875512,"Europe",15147,NA
"Albania",2021-03-06,867,2875512,"Europe",16014,NA
"Albania",2021-03-07,838,2875512,"Europe",16852,NA
"Albania",2021-03-08,808,2875512,"Europe",17660,NA
"Albania",2021-03-09,820,2875512,"Europe",18480,NA
"Albania",2021-03-10,831,2875512,"Europe",19311,NA
"Albania",2021-03-11,857,2875512,"Europe",20168,NA
"Albania",2021-03-12,883,2875512,"Europe",21051,NA
"Albania",2021-03-13,1042,2875512,"Europe",22093,NA
"Albania",2021-03-14,1201,2875512,"Europe",23294,NA
"Albania",2021-03-15,1361,2875512,"Europe",24655,NA
"Albania",2021-03-16,1520,2875512,"Europe",26175,NA
"Albania",2021-03-17,1679,2875512,"Europe",27854,NA
"Albania",2021-03-18,1960,2875512,"Europe",29814,NA
"Albania",2021-03-19,2240,2875512,"Europe",32054,NA
"Albania",2021-03-20,2386,2875512,"Europe",34440,NA
