country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,56192,2466.0,49752.0,3974.0,1102.0,1420,62.0,334110.0,8446.0,39559326
Albania,Europe,121847,2156.0,86497.0,33194.0,46.0,42374,750.0,532564.0,185207.0,2875512
Algeria,Africa,116349,3066.0,80981.0,32302.0,9.0,2619,69.0,230553.0,5190.0,44422164
Andorra,Europe,11591,113.0,11050.0,428.0,12.0,149842,1461.0,193595.0,2502682.0,77355
Angola,Africa,21774,530.0,20099.0,1145.0,18.0,648,16.0,411165.0,12237.0,33598981
Anguilla,North America,22,,20.0,2.0,,1457,,11052.0,731921.0,15100
Antigua And Barbuda,North America,1080,28.0,715.0,337.0,45.0,10963,284.0,16190.0,164339.0,98516
Argentina,South America,2261577,54823.0,2043957.0,162797.0,3591.0,49709,1205.0,8433539.0,185368.0,45496119
Armenia,Asia,186184,3398.0,169485.0,13301.0,,62746,1145.0,817406.0,275474.0,2967266
Aruba,North America,8902,82.0,8310.0,510.0,8.0,83122,766.0,119810.0,1118726.0,107095
Australia,Australia/Oceania,29218,909.0,26253.0,2056.0,,1136,35.0,15287777.0,594533.0,25713920
Austria,Europe,519980,9121.0,477940.0,32919.0,437.0,57497,1009.0,6431566.0,711168.0,9043669
Azerbaijan,Asia,248307,3384.0,233356.0,11567.0,,24331,332.0,2790980.0,273482.0,10205365
Bahamas,North America,8935,188.0,7757.0,990.0,3.0,22565,475.0,73721.0,186181.0,395965
Bahrain,Asia,137550,503.0,129845.0,7202.0,52.0,78876,288.0,3446516.0,1976341.0,1743887
Bangladesh,Asia,577241,8738.0,525694.0,42809.0,,3480,53.0,4460184.0,26888.0,165877208
Barbados,North America,3574,40.0,3390.0,144.0,,12426,139.0,137126.0,476743.0,287631
Belarus,Europe,312474,2175.0,303030.0,7269.0,,33076,230.0,5234666.0,554105.0,9447063
Belgium,Europe,842775,22763.0,55692.0,764320.0,589.0,72489,1958.0,10605652.0,912218.0,11626225
Belize,North America,12410,316.0,12047.0,47.0,,30807,784.0,95000.0,235829.0,402834
Benin,Africa,6818,90.0,5552.0,1176.0,35.0,552,7.0,521218.0,42199.0,12351328
Bermuda,North America,840,12.0,715.0,113.0,,13524,193.0,189077.0,3044228.0,62110
Bhutan,Asia,869,1.0,867.0,1.0,,1117,1.0,578215.0,743440.0,777756
Bolivia,South America,266086,12093.0,213779.0,40214.0,71.0,22572,1026.0,858336.0,72814.0,11788104
Bosnia And Herzegovina,Europe,156346,6005.0,126237.0,24104.0,,47872,1839.0,753263.0,230641.0,3265950
Botswana,Africa,37559,485.0,32550.0,4524.0,1.0,15742,203.0,901776.0,377970.0,2385839
Brazil,South America,12136615,298843.0,10601658.0,1236114.0,8318.0,56805,1399.0,28600000.0,133861.0,213654630
British Virgin Islands,North America,153,1.0,131.0,21.0,,5037,33.0,13223.0,435296.0,30377
Brunei Darussalam,Asia,206,3.0,188.0,15.0,,468,7.0,112060.0,254386.0,440512
Bulgaria,Europe,312741,12307.0,239602.0,60832.0,729.0,45257,1781.0,1989047.0,287837.0,6910314
Burkina Faso,Africa,12572,145.0,12240.0,187.0,,590,7.0,,,21314816
Burundi,Africa,2628,6.0,773.0,1849.0,,216,,90019.0,7412.0,12144758
Cabo Verde,Africa,16555,163.0,15845.0,547.0,23.0,29544,291.0,125300.0,223607.0,560357
Cambodia,Asia,1817,5.0,1033.0,779.0,,108,,654809.0,38778.0,16886181
Cameroon,Africa,40622,601.0,35261.0,4760.0,53.0,1503,22.0,905000.0,33493.0,27020892
Canada,North America,942320,22735.0,883275.0,36310.0,586.0,24810,599.0,26778301.0,705029.0,37981846
Caribbean Netherlands,North America,1119,10.0,648.0,461.0,,42386,379.0,8599.0,325720.0,26400
Cayman Islands,North America,482,2.0,448.0,32.0,,7272,30.0,79727.0,1202882.0,66280
Central African Republic,Africa,5087,64.0,4938.0,85.0,2.0,1040,13.0,38422.0,7857.0,4890353
Chad,Africa,4440,158.0,4059.0,223.0,,265,9.0,,,16764068
Channel Islands,Europe,4046,86.0,3960.0,0.0,1.0,23117,491.0,399901.0,2284835.0,175024
Chile,South America,942958,22384.0,882772.0,37802.0,2311.0,49023,1164.0,10699507.0,556250.0,19235067
China Hong Kong Sar,Asia,11420,204.0,10963.0,253.0,10.0,1514,27.0,9296529.0,1232790.0,7541049
China Macao Sar,Asia,48,,47.0,1.0,,73,,4369.0,6663.0,655733
China,Asia,90125,4636.0,85331.0,158.0,,63,3.0,160000000.0,111163.0,1439323776
Colombia,South America,2347224,62274.0,2239936.0,45014.0,1982.0,45777,1215.0,12343343.0,240726.0,51275398
Comoros,Africa,3681,146.0,3483.0,52.0,,4169,165.0,,,882941
Congo,Africa,9564,134.0,7514.0,1916.0,,1703,24.0,92500.0,16472.0,5615740
Costa Rica,North America,213438,2908.0,190950.0,19580.0,147.0,41624,567.0,775821.0,151297.0,5127806
Cote D Ivoire,Africa,40868,222.0,36944.0,3702.0,,1522,8.0,488648.0,18201.0,26847880
